NOM;ANNEE;FDis;FDiv;FEve;FRic;FGR-6;gr1;gr2;gr3;gr4;gr5;gr6;RaoQ;sing;nbsp;forag;diet;nest;migr;date;home;eggs;mass;AEGCAU;ALAARV;ALERUF;ANTTRI;CARCAN;CARCAR;CARCHL;CERBRA;CISJUN;COLPAL;COTCOT;CUCCAN;DENMAJ;DENMED;DENMIN;DRYMAR;EMBCIR;EMBCIT;ERIRUB;FRICOE;GARGLA;HIPPOL;JYNTOR;LANCOL;LULARB;LUSMEG;MERAPI;MILCAL;MOTALB;MOTFLA;MUSSTR;ORIORI;PARCAE;PARMAJ;PARPAL;PHACOL;PHYBON;PHYCOL;PICPIC;PICVIR;PRUMOD;PYRPYR;REGIGN;SAXTOR;SERSER;SITEUR;STRDEC;STRTUR;STUVUL;SYLATR;SYLBOR;SYLCOM;TROTRO;TURMER;TURPHI;TURVIS;UPUEPO
A1;1981;0.380495056187021;0.802083326256274;0.77077379772318;0.21961094782829;6;12;12;4;4;2;4;0.149509334480239;14;14;under;mixed;ground;resid;lateapr;small;5.21052631578947;48.5315789473684;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;6;4;0;0;0
A2;1981;0.392974369614262;0.843631617836447;0.832914206806413;0.169324786545272;5;10;8;2;8;0;10;0.15739008090494;15;15;under;mixed;tree;short;earlapr;small;4.92105263157895;46.6052631578947;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;4;0;0;2;2;6;0;0
A3;1981;0.390943709039746;0.806055735365946;0.845022465991062;0.16772146930483;6;4;10;2;2;2;8;0.160792437964295;11;11;prober;mixed;ground;short;lateapr;mid;5.25;54.0571428571428;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;6;0;2
A4;1981;0.384883384384053;0.814319108862002;0.788506159116659;0.277260313518018;6;10;12;8;8;2;15;0.153088596811496;18;18;ground;mixed;shrub;short;march;mid;4.9;58.9745454545454;0;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;4;0;4;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;3;6;0;2;0;6;6;0;0
A5;1981;0.397272384860021;0.801580090495767;0.839242262914938;0.230115804058404;6;13;10;4;6;2;7;0.160599349385522;17;17;under;insect;shrub;short;earlapr;small;5.46428571428571;50.4880952380952;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;3;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;6;0;0;4;4;2;0;0
A6;1981;0.367998911034898;0.815548418943878;0.761377468245925;0.173853959312899;5;12;20;8;2;0;14;0.142910463186426;17;17;under;mixed;ground;short;lateapr;mid;5.3125;49.3392857142857;0;2;0;2;0;2;0;0;0;0;4;0;0;0;0;0;2;4;6;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;1;6;0;0;0;9;4;0;0
A7;1981;0.379510592672257;0.768453338436314;0.892374598837746;0.11487256278545;5;8;11;0;2;4;4;0.150092044798569;10;10;ground;mixed;ground;short;lateapr;small;4.91379310344828;41.0689655172414;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;4;0;0;4
A8;1981;0.37429115175819;0.807651528522529;0.822999373411329;0.195275459288182;4;10;12;0;0;4;8;0.143794237552518;12;12;prober;mixed;shrub;short;lateapr;small;5.29411764705882;45.7411764705882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;6;0;0;2;6;2;0;0
A9;1981;0.39982036515763;0.830204934462699;0.829704853782104;0.179077982742968;5;10;14;8;6;0;6;0.165026370657014;16;16;canopy;insect;tree;short;lateapr;small;5.11363636363636;72.2727272727273;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;6;0;0;0;0;2;0;0;0;0;2;0;4;0;0;4;2;2;2;0
A10;1981;0.356630659978599;0.774513804753393;0.843640710906196;0.2034749107204;4;6;12;0;0;2;8;0.134207004212822;10;10;canopy;mixed;ground;short;earlapr;small;4.67857142857143;48.1642857142857;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0
