NOM;STATION;X;Y
A1;1;530494.734025;6247383.04319
A2;2;524489.895332;6247048.46858
A3;3;524989.154585;6247034.74518
A4;4;529981.748977;6246897.50427
A5;5;530481.010115;6246883.78139
A6;6;530980.271494;6246870.05806
A7;7;531479.532781;6246856.33429
A8;8;523477.657096;6246576.65399
A9;9;523976.916092;6246562.93107
A10;10;524476.174994;6246549.20772
A11;11;524975.433867;6246535.48418
A12;12;525973.951597;6246508.03661
A13;13;526473.210542;6246494.31278
A14;14;526972.469261;6246480.58905
A15;15;527970.987061;6246453.14027
A16;16;529468.76355;6246411.96541
A17;17;529968.024559;6246398.24207
A18;18;530467.285749;6246384.51921
A19;19;530966.546903;6246370.79618
A20;20;523463.937642;6246077.39341
A21;21;523963.196132;6246063.67061
A22;22;524462.454609;6246049.94711
A23;23;524961.713105;6246036.22345
A24;24;525460.971597;6246022.4996
A25;25;525960.230056;6246008.77557
A26;26;526459.488513;6245995.05137
A27;27;526958.747055;6245981.32725
A28;28;527458.005343;6245967.60319
A29;29;527957.263893;6245953.87869
A30;30;528456.522352;6245940.15377
A31;31;529455.039203;6245912.7034
A32;32;529954.300065;6245898.98012
A33;33;530453.561192;6245885.25709
A34;34;530952.822063;6245871.53413
A35;35;523949.476116;6245564.41005
A36;36;524448.734279;6245550.68668
A37;37;524947.992374;6245536.96287
A38;38;525447.25044;6245523.2389
A39;39;525946.5085;6245509.51472
A40;40;526445.766579;6245495.79038
A41;41;526945.024631;6245482.06585
A42;42;527444.282685;6245468.34166
A43;43;527943.540755;6245454.61728
A44;44;528442.798789;6245440.89223
A45;45;528942.056816;6245427.16699
A46;46;529441.314863;6245413.44157
A47;47;529940.575578;6245399.71834
A48;48;530439.836499;6245385.99512
A49;49;530939.09742;6245372.27224
A50;50;531438.358329;6245358.54919
A51;51;523935.756326;6245065.14943
A52;52;524435.013868;6245051.42617
A53;53;524934.27165;6245037.70248
A54;54;525433.529313;6245023.97834
A55;55;525932.786973;6245010.25404
A56;56;526432.044627;6244996.52957
A57;57;526931.302275;6244982.8049
A58;58;527430.560034;6244969.08031
A59;59;527929.817538;6244955.3558
A60;60;528429.075256;6244941.63083
A61;61;528928.332883;6244927.90547
A62;62;529427.590505;6244914.17992
A63;63;529926.851048;6244900.45673
A64;64;530426.111873;6244886.73359
A65;65;530925.372779;6244873.01053
A66;66;531424.633404;6244859.28754
A67;67;531923.894269;6244845.56412
A68;68;532922.415811;6244818.11624
A69;69;523422.779042;6244579.61296
A70;70;523922.036321;6244565.88924
A71;71;524421.293604;6244552.16584
A72;72;524920.550881;6244538.44225
A73;73;525419.808169;6244524.71798
A74;74;525919.065452;6244510.99354
A75;75;526418.322704;6244497.26891
A76;76;526917.579952;6244483.54412
A77;77;527416.837197;6244469.81915
A78;78;527916.094443;6244456.09448
A79;79;528415.351705;6244442.36964
A80;80;528914.608956;6244428.64413
A81;81;529413.866175;6244414.91842
A82;82;529913.126576;6244401.19529
A83;83;530412.387252;6244387.47224
A84;84;530911.647926;6244373.74899
A85;85;531410.908707;6244360.02581
A86;86;531910.16923;6244346.30272
A87;87;532409.42997;6244332.57918
A88;88;532908.690619;6244318.85524
A89;89;533407.951286;6244305.1311
A90;90;533907.211924;6244291.4068
A91;91;522909.802603;6244094.07703
A92;92;523409.059509;6244080.35333
A93;93;523908.31641;6244066.62947
A94;94;524407.57337;6244052.90566
A95;95;524906.830081;6244039.18195
A96;96;525406.087054;6244025.45779
A97;97;525905.343912;6244011.73322
A98;98;526404.600763;6243998.00845
A99;99;526903.857634;6243984.28351
A100;100;527403.114475;6243970.55838
A101;101;527902.371402;6243956.83333
A102;102;528401.6281;6243943.10837
A103;103;528900.88501;6243929.38297
A104;104;529400.141829;6243915.65712
A105;105;529899.402108;6243901.93404
A106;106;530398.662664;6243888.21104
A107;107;530897.923215;6243874.48788
A108;108;531397.183791;6243860.76452
A109;109;531896.444341;6243847.0415
A110;110;532395.704879;6243833.31828
A111;111;532894.965432;6243819.5944
A112;112;533394.225981;6243805.87034
A113;113;533893.486496;6243792.14609
A114;114;534392.747008;6243778.42168
A115;115;521398.313912;6243635.98787
A116;116;522896.0835;6243594.81771
A117;117;523395.340005;6243581.09387
A118;118;523894.596481;6243567.36988
A119;119;524393.852952;6243553.64569
A120;120;524893.109449;6243539.92182
A121;121;525392.365944;6243526.19777
A122;122;525891.622402;6243512.47304
A123;123;526390.878853;6243498.74815
A124;124;526890.1353;6243485.02308
A125;125;527389.391738;6243471.29781
A126;126;527888.648201;6243457.57237
A127;127;528387.904745;6243443.847
A128;128;528887.16101;6243430.12171
A129;129;529386.417513;6243416.39598
A130;130;529885.677621;6243402.67296
A131;131;530384.938058;6243388.95003
A132;132;530884.198514;6243375.22693
A133;133;531383.458967;6243361.50365
A134;134;531882.719477;6243347.78043
A135;135;532381.979732;6243334.05731
A136;136;532881.240227;6243320.33375
A137;137;533380.500629;6243306.60975
A138;138;533879.761051;6243292.88557
A139;139;520885.338458;6243150.44902
A140;140;521384.596179;6243136.72864
A141;141;521883.852113;6243123.00572
A142;142;522383.108292;6243109.28235
A143;143;522882.364404;6243095.55856
A144;144;523381.620508;6243081.83459
A145;145;523880.876582;6243068.11044
A146;146;524380.132652;6243054.38612
A147;147;524879.388802;6243040.66187
A148;148;525378.644705;6243026.93768
A149;149;525877.900875;6243013.21307
