species;abond;forag;diet;nest;migr;date;home;eggs;mass;sti407;ssi
ACCNIS;44;aerial;verteb;tree;short;may;large;4;208;12.34539145;2.56
AEGCAU;432;under;insect;shrub;resid;march;small;7;7.8;12.97827557;2.66
ALAARV;2070;ground;mixed;ground;short;earlapr;small;3.5;38.6;12.50799933;3.31
ALERUF;168;ground;mixed;ground;resid;may;large;12;475;15.23670569;6.89
ANTTRI;1664;ground;insect;ground;long;lateapr;mid;5;21.6;11.645925;2.54
BUTBUT;742;aerial;verteb;tree;resid;march;large;2;904;13.01514974;2.99
CARCAN;756;ground;seeds;shrub;short;earlapr;mid;4.5;18.5;14.21141348;2.59
CARCAR;1181;under;seeds;shrub;short;lateapr;small;5;15.8;14.69362764;3.22
CARCHL;2022;under;seeds;shrub;resid;earlapr;mid;5;28;13.88855166;3.22
CERBRA;1765;bark;insect;cavity;resid;earlapr;small;5;8.8;15.36158217;2.92
CIRCYA;101;aerial;verteb;ground;short;lateapr;large;4;428;18.05257009;3.93
CISJUN;88;ground;insect;ground;resid;earlapr;small;4.8;10;19.07362227;3.08
COCCOC;14;canopy;mixed;tree;short;lateapr;large;5.5;55;14.01760102;2.91
COLPAL;1094;ground;seeds;tree;short;lateapr;large;2;507;12.98895963;2.63
CORCOR;3158;ground;mixed;tree;resid;earlapr;large;4;509;13.85272331;2.94
CORRAX;164;ground;mixed;tree;resid;march;large;5;1145;12.36577585;3.98
COTCOT;416;ground;mixed;ground;long;june;mid;12;110;14.69295739;4.22
CUCCAN;2700;canopy;insect;ground;long;june;large;10;115;12.71402133;1.83
DENMAJ;876;bark;insect;cavity;resid;earlapr;large;5;79;12.18946932;2.94
DENMED;19;bark;insect;cavity;resid;lateapr;large;4.5;65;14.62674931;4.36
DENMIN;106;bark;insect;cavity;resid;lateapr;large;5.5;21;11.95538138;4.38
DRYMAR;26;bark;insect;cavity;resid;lateapr;large;4;325;11.38611566;5.11
EMBCIR;2483;ground;mixed;ground;resid;may;small;3.5;25;16.54732143;2.3
EMBCIT;3435;ground;mixed;ground;resid;may;small;3.5;26;11.75475122;3.3
