"species","Ordre","Famille","NomF","NomS","NameforPlot","Balent_names"
"1","ACCNIS","Accipitriformes","Accipitridés","Epervier_d_Europe","Accipiter_nisus","Accipiter nisus","ANIS"
"2","AEGCAU","Passériformes","Aagithalidés","Mésange_à_longue_queue","Aegithalos_caudatus","Aegithalos caudatus","ACAU"
"3","ALAARV","Passériformes","Alaudidés","Alouette_des_champs","Alauda_arvensis","Alauda arvensis","AARV"
"4","ALERUF","Galliformes","Phasianidés","Perdrix_rouge","Alectoris_rufa","Alectoris rufa","ARUF"
"5","ANTTRI","Passériformes","Motacillidés","Pipit_des_arbres","Anthus_trivialis","Anthus trivialis","ATRI"
"6","BUTBUT","Accipitriformes","Accipitridés","Buse_variable","Buteo_buteo","Buteo buteo","BBUT"
"7","CARCAN","Passériformes","Fringillidés","Linotte_mélodieuse","Carduelis_cannabina","Carduelis cannabina",NA
"8","CARCAR","Passériformes","Fringillidés","Chardonneret_élégant","Carduelis_carduelis","Carduelis carduelis","CCAR"
"9","CARCHL","Passériformes","Fringillidés","Verdier_d_Europe","Carduelis_chloris","Carduelis chloris","CCHL"
"10","CERBRA","Passériformes","Certhiidés","Grimpereau_des_jardins","Certhia_brachydactyla_Brehm","Certhia brachydactyla Brehm","CBRA"
"11","CIRCYA","Accipitriformes","Accipitridés","Busard_Saint-Martin","Circus_cyaneus","Circus cyaneus","CCYA"
"12","CISJUN","Passériformes","Sylvidés","Cisticole_des_joncs","Cisticola_juncidis","Cisticola juncidis","CJUN"
"13","COCCOC","Passériformes","Fringillidés","Grosbec_casse-noyaux","Coccothraustes_coccothraustes","Coccothraustes coccothraustes","CCOC"
"14","COLPAL","Columbiformes","Columbidés","Pigeon_ramier","Columba_palumbus","Columba palumbus","CPAL"
"15","CORCOR","Passériformes","Corvidés","Corneille_noire","Corvus_corone","Corvus corone","CCOR"
"16","CORRAX","Passériformes","Corvidés","Grand_Corbeau","Corvus_corax","Corvus corax",NA
"17","COTCOT","Galliformes","Phasianidés","Caille_des_blés","Coturnix_coturnix","Coturnix coturnix","CCOT"
"18","CUCCAN","Cuculiformes","Cuculidés","Coucou_gris","Cuculus_canorus","Cuculus canorus","CCAN"
"19","DENMAJ","Piciformes","Picidés","Pic_épeiche","Dendrocopos_major","Dendrocopos major","DMAJ"
"20","DENMED","Piciformes","Picidés","Pic_mar","Dendrocopos_medius","Dendrocopos medius","DMED"
"21","DENMIN","Piciformes","Picidés","Pic_épeichette","Dendrocopos_minor","Dendrocopos minor",NA
"22","DRYMAR","Piciformes","Picidés","Pic_noir","Dryocopus_martius","Dryocopus martius","DMAR"
"23","EMBCIR","Passériformes","Embérizidés","Bruant_zizi","Emberiza_cirlus","Emberiza cirlus","ECIR"
"24","EMBCIT","Passériformes","Embérizidés","Bruant_jaune","Emberiza_citrinella","Emberiza citrinella","ECIT"
"25","ERIRUB","Passériformes","Turdidés","Rougegorge_familier","Erithacus_rubecula","Erithacus rubecula","ERUB"
"26","FALSUB","Falconiformes","Falconidés","Faucon_hobereau","Falco_subbuteo","Falco subbuteo","FSUB"
"27","FALTIN","Falconiformes","Falconidés","Faucon_crécerelle","Falco_tinnunculus","Falco tinnunculus","FTIN"
"28","FRICOE","Passériformes","Fringillidés","Pinson_des_arbres","Fringilla_coelebs","Fringilla coelebs","FCOE"
"29","GARGLA","Passériformes","Corvidés","Geai_des_chênes","Garrulus_glandarius","Garrulus glandarius","GGLA"
"30","HIPPOL","Passériformes","Sylvidés","Hypolaïs_polyglotte","Hippolais_polyglotta","Hippolais polyglotta","HPOL"
"31","JYNTOR","Piciformes","Picidés","Torcol_fourmilier","Jynx_torquilla","Jynx torquilla","JTOR"
"32","LANCOL","Passériformes","Laniidés","Pie-grièche_écorcheur","Lanius_collurio","Lanius collurio","LCOL"
"33","LULARB","Passériformes","Alaudidés","Alouette_lulu","Lullula_arborea","Lullula arborea","LARB"
"34","LUSMEG","Passériformes","Turdidés","Rossignol_philomèle","Luscinia_megarhynchos_Brehm","Luscinia megarhynchos Brehm","LMEG"
"35","MERAPI","Coraciiformes","Méropidés","Guêpier_d_Europe","Merops_apiaster","Merops apiaster","MAPI"
"36","MILCAL","Passériformes","Embérizidés","Bruant_proyer","Miliaria_calandra","Miliaria calandra",NA
"37","MILMIG","Accipitriformes","Accipitridés","Milan_noir","Milvus_migrans","Milvus migrans","MMIG"
"38","MILMIL","Accipitriformes","Accipitridés","Milan_royal","Milvus_milvus","Milvus milvus","MMIL"
"39","MOTALB","Passériformes","Motacillidés","Bergeronnette_grise","Motacilla_alba","Motacilla alba","MALB"
"40","MOTFLA","Passériformes","Motacillidés","Bergeronnette_printanière","Motacilla_flava","Motacilla flava","MFLA"
